_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
34,Education,Colleges and Universities,Thunder Bay,Confederation College - Technology Education and Collaboration (TEC) Hub,Complete,Jul-18,Construction of new building ,"44,000 sq. ft. space to support research, incubation and technology training",Thunder Bay,Northwest,1450 Nakina Dr,P7C 4W1,,20000000,,Yes,Yes,Yes,,48.40302,-89.269096
35,Education,Colleges and Universities,Timmins,Northern College Expansion ,Complete,Nov-18,Expansion of the Timmins Campus to support the creation of an Integrated Emergency Services Complex. ,"Expansion will enhance experiential learning for students in a collaborative environment with Emergency Services Responders and house Smart classrooms, video conferencing, training labs and garages, and simulation rooms to support specialized training for fire, police, and paramedic students, professionals and volunteers.  LEED design will contribute to sustainability through energy efficiency.",Cochrane,Northeast,4715 Highway 101 East,P0N1H0,,11700000,,Yes,Yes,Yes,,48.486745,-81.201321
36,Education,Colleges and Universities,Toronto,Centennial College - Downsview Park Aerospace Campus,Complete,Nov-18,Renovating former de Havilland Building in partnership with Parc Downsview Park Inc. and City of Toronto,"New classrooms, workshops, hangars with access to working runways",Toronto,Central,65 Carl Hall Rd,M3K 2C1,,72428380,,Yes,Yes,Yes,,43.747763,-79.475341
37,Education,Colleges and Universities,Toronto,George Brown College - Design Centre for the Smart Economy,Complete,Mar-18,Construction of new building,"Adding incubator, laboratory and research space",Toronto,Central,51 Dockside Drive,M5A 0B6,,0,,,Yes,Yes,,43.64396,-79.36555
38,Education,Colleges and Universities,Toronto,Humber College - Centre for Technology and Innovation,Complete,Nov-18,Construction of new building ,"Adding 69,000 sq. ft. to support research and product-development in science, engineering, technology and math (STEM)",Toronto,Central,205 Humber College Blvd,M9W 5L7,,0,,,Yes,Yes,,43.72858,-79.605584
39,Education,Colleges and Universities,Toronto,Humber College - Learning Resource Commons,Complete,Apr-15,New entrance to main campus and added student space,"Adding 6 storeys, 260,000 sq. ft. of space for academic support and student services",Toronto,Central,205 Humber College Blvd,M9W 5L7,,74700000,,Yes,,Yes,,43.729229,-79.606738
40,Education,Colleges and Universities,Toronto,Ryerson University - Campus Research and Innovation Renewal,Complete,Feb-19,"Renovation of existing labs, addition of incubators","Improving environmental sustainability of science, design and engineering research labs",Toronto,Central,350 Victoria St,M5B 2K3,,28613343,,Yes,Yes,Yes,,43.657877,-79.380456
41,Education,Colleges and Universities,Toronto,Ryerson University - Centre for Urban Innovation,Complete,Nov-18,Renovation of existing building,"Will house researchers and labs in energy, water, data, infrastructure and food",Toronto,Central,44 Gerrard St E,M5B 1G3,,0,,,Yes,Yes,,43.659619,-79.379686
42,Education,Colleges and Universities,Toronto,Ryerson University - Daphne Cockwell Health Sciences Complex,Complete,Aug-19,Construction of new building,"Combining residential tower (100 units for 332 students), academic programs (e.g. nursing, public health) and administrative offices",Toronto,Central,300 Church St,M5B 1Z2,,115100000,,Yes,,Yes,,43.657519,-79.377563
43,Education,Colleges and Universities,Toronto,"Seneca College - Centre for Innovation, Technology and Entrepreneurship",Complete,Dec-18,Construction of new centre ,"Will house a living lab, training, business incubation, applied research and commercialization",Toronto,Central,1750 Finch Ave E,M2J 2X5,,84970000,,Yes,Yes,Yes,,43.794823,-79.348712
44,Education,Colleges and Universities,Toronto,Seneca College - Mechatronics Simulation and Demonstration Centre,Complete,Dec-15,Construction of a new research and training centre,New workstations with full-simulation capability and a digital factory manufacturing-line training system,Toronto,Central,1750 Finch Ave E,M2J 2X5,,651000,,Yes,,Yes,,43.795147,-79.349619
